from_node,to_node,length_m,elevation_change,elevation_gain
286181276,7366845050,8.023452138,-0.1,0
286181276,7366845054,5.191107594,0.1,0.1
286181276,286182061,8.253144455,0.1,0.1
286181276,7366845051,8.56918669,-0.2,0
286182061,286181276,8.253144455,-0.1,0
286182061,7366845055,5.936809474,0.1,0.1
286182061,7366845049,8.05178256,-0.1,0
286182061,7366845048,8.988895855,0.1,0.1
308022083,7368658467,6.428916741,0,0
308022083,461629164,8.858963076,0.1,0.1
308022083,7368658470,8.088582499,0.4,0.4
308022083,7368658463,4.428614511,-0.2,0
308022101,461629162,9.734630255,0.3,0.3
308022101,2636411771,9.087132447,0.2,0.2
308022101,461629483,9.854318071,-0.3,0
308022850,308022851,11.07708442,0.1,0.1
308022850,7366852210,9.256209608,0.1,0.1
308022850,7366852216,9.10380382,-0.2,0
308022850,461629181,9.67476956,0.3,0.3
308022851,461629182,9.539646899,0.2,0.2
308022851,308022850,11.07708442,-0.1,0
308022851,7366852215,9.104925838,-0.2,0
308022852,308022854,8.729469356,0,0
308022852,7366584693,7.5658966,-0.5,0
308022852,7366584694,11.65129585,0.9,0.9
308022854,2637060815,8.820540201,0,0
308022854,308022852,8.729469356,0,0
308022854,7366584695,11.27932016,0.8,0.8
308022854,7366584692,7.705706819,-0.5,0
443306873,7369034017,12.03952657,0,0
443306873,443306874,12.30141724,0,0
443306873,7369034020,11.1758131,-0.1,0
443306873,443306880,9.751791978,0,0
443306874,7369034019,15.1652004,-0.1,0
443306874,443306880,13.11605554,0,0
443306874,443306873,12.30141724,0,0
443306874,7369034015,15.27580197,0.1,0.1
443306874,7369034014,9.724611247,0.1,0.1
443306880,443306874,13.11605554,0,0
443306880,443306873,9.751791978,0,0
443306880,7369034016,10.09241352,0.1,0.1
443306880,7369034018,11.52499683,-0.1,0
443306889,2187246907,38.00361654,0.7,0.7
443306889,2187246782,40.65859233,1.2,1.2
443306889,2187246718,73.76705727,-4.4,0
443306889,2187246941,58.26222814,3.5,3.5
443306892,13076852505,6.695031725,0.1,0.1
443306892,13076848009,7.856959038,-0.3,0
443306892,13076848008,6.284904873,0.2,0.2
443306892,13076848007,5.405097313,0,0
461629162,2636411768,8.959155206,0.1,0.1
461629162,308022101,9.734630255,-0.3,0
461629162,461629482,10.0448848,-0.2,0
461629162,2636411770,9.670266553,0.2,0.2
461629163,461629482,8.232839925,0.3,0.3
461629163,1704222981,10.18175192,-0.2,0
461629163,10735004295,7.41947247,0.3,0.3
461629163,7368658471,125.0545444,-4.6,0
461629164,308022083,8.858963076,-0.1,0
461629164,7368658462,4.637441663,-0.2,0
461629164,7368658471,8.494667868,0.3,0.3
461629181,7366852211,9.698008484,-0.2,0
461629181,461629182,10.8040955,0,0
461629181,7366852213,9.335306565,0.2,0.2
461629181,308022850,9.67476956,-0.3,0
461629182,7366852212,9.001363249,0.2,0.2
461629182,308022851,9.539646899,-0.2,0
461629182,461629181,10.8040955,0,0
461629311,2139661953,30.64979691,-1.2,0
461629311,6437963396,34.07501367,0.7,0.7
461629311,461629321,105.8624653,6.5,6.5
461629319,2139661954,49.37578657,-1.9,0
461629319,461629321,56.78674782,3.9,3.9
461629319,6437963399,35.56867699,-3.2,0
461629321,1303243391,25.66160141,1.1,1.1
461629321,461629311,105.8624653,-6.5,0
461629321,461629319,56.78674782,-3.9,0
461629482,461629162,10.0448848,0.2,0.2
461629482,461629483,10.05052249,-0.4,0
461629482,2636411766,9.587276084,0.2,0.2
461629482,461629163,8.232839925,-0.3,0
461629483,1704222981,7.857986122,-0.1,0
